geneid	chrom	startpos	endpos
05YXX8Y	4	887313	887813
H2DJ	5	888985	889504
L3YCD91H	16	341076	341576
HCQFC	22	158326	158829
F6BQ	9	716921	717413
N75OMDJF	17	386545	387058
Q1QE9	12	904897	905391
0STVT	16	123903	124391
MLT2TD	14	339109	339602
NJW8X	14	904127	904632
VICFWBTZ	15	795462	795966
VBFX48X1	17	32666	33148
KBIW	23	730530	731033
GMRIY9V	7	415457	415948
ZYPHNZA	16	241458	241958
YJVU	20	226371	226865
9BKXW	2	326292	326796
G4UE	19	689618	690128
W8ZA	22	22829	23334
FH8BRR2	15	311056	311546
Y0BJZV4	4	980388	980895
F6PNX	5	968804	969309
BD4SXX	5	488037	488523
LN0C6P	20	842094	842583
1TGOEW	4	50036	50536
W68FJW5H	23	839949	840448
U4UK	4	624029	624517
H6O0	23	451470	451955
CZSWELB4	12	478839	479346
2WNE	16	646356	646860
BM9D	18	421602	422102
1VZQ	9	995743	996230
IHR3	18	720057	720542
IVBG	15	747984	748496
3A1P	16	412052	412556
4F30	20	224630	225115
7XEDUFI	5	838597	839103
FSN1	2	953519	954024
SWL7TS4	3	23514	24012
ZM991	18	595894	596395
RUCXJSCR	15	952369	952864
KCNS	16	848997	849511
ZH88OKX	4	738587	739087
YM9MGH	21	891737	892244
E8NUH	23	274682	275184
20T3B5NM	14	385219	385715
K26E	7	394967	395459
0PU7	17	312888	313381
X56L4UB	7	142719	143208
NQYX	12	590256	590756
AVYX	19	932589	933096
XIFU9D9	14	616417	616919
B42F91NR	22	418553	419037
TG01H97	5	164770	165253
JYUG	2	529216	529720
76AW	1	980490	981001
AI7SD3	22	734355	734840
NCJXUG	3	811760	812263
7FLR5O	23	18744	19237
CWAOUFY	22	906802	907295
7Z36CVIB	8	728109	728601
G2PHSFF	3	915626	916111
L7831	2	985620	986121
O5250	4	816905	817416
RJ5LQZ	7	825967	826480
YGTH79EQ	18	763280	763796
UQZX997P	9	482645	483142
BR1L29QW	20	707141	707625
4QVH5WL1	1	992986	993494
77BF	13	55927	56437
I49XP	6	416011	416522
RE7B	13	134378	134874
SJDD	9	994616	995127
ZBB4JU	21	397285	397778
06X98K	22	834734	835220
2IAQS9H	20	792816	793316
FK5C9D	17	675858	676354
TJAY	19	193196	193682
EMT2EILO	19	106181	106685
UPRBF4E	19	806130	806630
M9RZ2	5	944364	944865
X9A1GLZ	11	805400	805897
GO1IIPV	7	216100	216601
VT78ABR	22	941184	941693
1PB8A45	15	680749	681252
9DLQR	2	625834	626328
EEIN	19	445636	446127
8T504I	4	590599	591102
5TK530	10	83393	83879
HGEBNH2	3	914354	914847
53A6E	10	665044	665557
OFRFPKY	15	565450	565938
02JV1	9	47146	47636
IC7V	2	103769	104281
CDQGP	19	12459	12956
5FCCA	20	948025	948523
UQ1UNJJ5	7	99050	99547
VE0O	16	403965	404453
5RRBAZOY	4	427038	427533
ZHPRVL9	6	418483	418979
8WOBV	9	982632	983125
ITWN6O4J	13	521166	521663
TEGVH9RZ	16	765841	766349
Z1ZS9X3	16	52714	53210
7U1KHH3C	22	770563	771041
J7UUUA	5	810336	810840
TWOF	9	615937	616441
U6L343	13	31601	32089
ZT6V5ZE5	12	170519	171000
WQGNZRD	7	198913	199431
GR5RJY8U	5	824853	825348
RS7KTC	2	954743	955247
83WK	20	275994	276500
U7BHOY7	21	202909	203415
MHP3P	15	22619	23122
62KNO	15	756481	756977
MH8CX9	4	584125	584649
1WNITL	18	645786	646276
IDDZSTN	9	268731	269215
9BZJ0	6	821177	821680
QDI2GU0	1	969449	969934
P0IH1NK1	2	853680	854177
JX1MV2	11	775782	776288
KQ6GH	19	12739	13231
WITU4	14	26335	26827
1GD70I7G	20	765675	766171
J02V81	10	442711	443199
T14TYYS	22	117840	118342
XBJ9S	5	799359	799873
8KWA4F	22	517377	517893
TXUZWQ	19	270014	270513
MDPYSZU	8	748576	749078
YWODY	21	631932	632451
41RFE70W	13	177076	177577
NWEMO	10	774431	774941
U45V9	1	682347	682847
FGRE	17	928837	929329
9DS3NFUK	22	971602	972088
ZG6UZ5FS	5	853319	853835
5QJ4N	22	201188	201688
WC8EUTTQ	20	537047	537555
SCKPR8S	7	931948	932449
0IVJQ1GZ	1	880542	881029
ZCW7	19	107924	108423
HI422K	19	606736	607239
40T212	15	113644	114137
V879	3	949282	949771
F2H2Q	6	221478	221979
JN0GGLI	1	98531	99040
N9ZGSOQ	5	110290	110783
D81GY	18	582071	582571
CSOZ6E	14	178405	178905
VOA35B	17	461038	461537
9NPQB	10	239255	239760
5KSOE9G	18	26020	26495
FE7CW	15	234933	235405
BEGL	22	32140	32635
F1G9ZVM6	18	312775	313284
FXNS7	18	898556	899061
CY3GE	11	132756	133250
24D02	14	454182	454689
GE93RUS	6	373489	374013
I60RDKQ	18	232168	232672
O3KC	21	989671	990164
9371DB	7	342515	343006
2ALYM3BW	8	983192	983694
T4E7PB	2	849173	849673
B0WEG	8	13002	13492
M332ZT	8	91897	92384
JLPCG	18	214414	214912
GJDLTX	8	796001	796499
9SX3S9BM	15	117735	118229
HMYQ	6	740932	741415
0T70F5	6	608963	609475
AUQTLFKW	4	796866	797366
4J6VX3AO	16	744275	744781
TNGG	20	592481	592980
A3XWS895	4	198483	198988
Z7ZGTG	18	230724	231232
OKM4L5L	15	400112	400613
TKRE	22	204778	205273
78D5	11	970442	970947
VBVY5	12	898848	899338
OON8S	15	838387	838890
FMSX82	6	969492	969988
4TED86	20	795193	795691
BOLOFNXZ	13	911925	912419
INCBLI6	22	440229	440727
TRC302VR	11	94108	94626
5CE93	11	326499	327010
1AW8	13	13611	14120
99LMEX5	23	988141	988642
KTHLM5QM	3	281690	282184
C0WXHY3	4	298743	299231
MM13COA1	8	542257	542767
CYBRU	3	80831	81346
FPLMNBUQ	21	226172	226662
WP2OO9	11	273767	274265
BXNY2	16	700881	701394
0TMBH4YV	17	102719	103225
4OK8RO	22	3503	3999
6MU7W5JY	12	139979	140479
HQL5T51D	10	845232	845737
O9XP6	3	268419	268926
Q93GRDHA	11	647498	648000
ASHZ828T	6	384263	384755
PFO7	8	208837	209341
5HH8JKU	14	135517	136010
W9HHS	1	117486	117983
LK5J5B	20	792951	793433
MNCD5OG	23	37615	38115
5I453	2	412837	413354
3Q871R	20	198974	199475
MB7T0U9N	22	500367	500869
YKOVARZ1	17	56916	57427
QLLB	7	184347	184853
QFLAH	20	37175	37670
GM52	4	671341	671821
I0Y60UP	15	202745	203232
1GRW	8	667949	668448
10SAOWJZ	3	873922	874433
7LJUP2IE	19	714597	715106
IYKW	21	235868	236351
OUVX	21	494606	495097
K4GJQ	4	241128	241632
0QX89P	3	207384	207876
A3IWUB	22	894650	895141
HKOT9X	10	903962	904470
T1XXDJ	13	763142	763639
KKBH	8	671563	672059
J6FL	17	842597	843097
YDUCG	12	477416	477911
3OBK36L	7	128036	128552
JC9I	19	17616	18124
4LOZ5	10	895518	896015
FJTDL	10	41208	41700
5907Y	22	993776	994269
X1AII6	3	749171	749677
OGACZIH	22	94158	94633
RR0Z78EW	8	342695	343189
EDA0	20	707438	707939
SF8SDXR1	1	43849	44336
4NDC2	18	620470	620969
XN5U	12	307419	307921
25IN	18	561643	562150
JKTM2T	8	964996	965498
BR2M	16	152282	152789
O6FBKKS4	21	204801	205301
RPAKWVY	5	704796	705288
66RN4CZ	4	179364	179856
SQBLN	8	646060	646541
I1OMFO0D	3	74744	75232
37H79	12	886728	887227
3UASYC	23	216599	217088
AKCLA	7	168137	168629
NR9I	2	803884	804393
6TL1I6U5	23	555656	556159
PZ4X	17	408027	408509
FN3WZ0	2	748994	749497
96Q4B7XK	10	813133	813625
VS51NHK	1	28767	29274
BWSMRJ	3	520500	520996
YNBJGVG	7	136887	137388
3XKFSEF	11	806732	807234
JVYD1NJ5	19	356778	357291
TVK5	12	945446	945942
QOVKPBUW	21	775127	775630
IAU2MLL	10	868482	868992
3BC90	21	720077	720579
D3QC	5	859237	859752
RZGMO0JY	15	34662	35151
O4F6IWP	11	823213	823707
C5B4LJR	13	4203	4697
PWYKPG6	15	838133	838620
1AZT	2	797474	797980
U4FKWJJ	2	548987	549482
ARNZS0	19	535510	536008
SGUC	2	449350	449836
YPW5C1	6	458151	458649
JK5MK	17	331607	332097
I7FNB3F	13	612792	613305
DWK3NY	15	571377	571882
ENM2C2R	11	560471	560971
RTNM	22	244855	245344
F0CO1	14	424366	424859
WP52WYJQ	10	184159	184665
ESZMG	8	614531	615010
7ZBPJ3W3	14	112176	112670
N0BRW1X	22	811912	812404
4HR8T	11	140835	141340
R3ZBIW	11	324276	324779
SOCP1ZOA	5	913415	913925
37F5	7	887623	888140
KSLDB	10	766530	767035
OVXPYCW	13	842007	842506
TGC049DK	7	160204	160706
F4HT	6	225088	225588
8BTPOHD	4	226676	227176
HAXS5	13	365413	365926
7AEZEWM	11	745582	746073
AZJ93GBX	18	735560	736067
TOGQXUO	18	642726	643232
EUMNOFC	9	897523	898020
YJMAWDGV	20	300766	301253
YYG5	11	152033	152552
PRNQAN	20	942608	943090
UFYE5WFO	19	853787	854291
8I0V	10	515288	515783
9HNKUA3	14	344684	345181
1V8O	19	662527	663030
O34W11B	15	819120	819620
FT3XNDO	7	828806	829310
O4SJB	2	727053	727546
GHERO	23	950399	950907
JQSQ	13	169160	169659
JJWZY1	11	943402	943907
QJYB	8	805352	805852
JYY5	17	90720	91243
ONI62L	7	787537	788027
MLNRBIE	18	841713	842210
H8VI	10	65811	66316
HF5RCN	4	579799	580287
DW1PV	19	167017	167520
PQQ8	20	931148	931641
8A2K3AW4	5	478343	478838
RLMCDQN	6	410655	411162
D6U6	4	986733	987242
WQR39EY	11	294118	294608
6QQM	19	287250	287778
CCIPU	13	981267	981769
OWB02U	1	181506	182000
BX0LXF4	5	889607	890100
555JS9MF	13	252635	253138
1L3E	17	528016	528513
TWCUDI	1	552627	553125
7J1P0G	13	955750	956240
S3VF69	4	363511	364007
8CF4OY	2	967752	968257
1W48J8T	9	411118	411648
MJIYYCF0	20	972658	973160
EHKMTU9I	3	761314	761803
ZCS0CU	17	581182	581676
0X8QPE	18	168421	168916
E6DQ2X	17	886004	886508
MWRS4N	17	345872	346378
37WZESF4	17	607885	608396
5DVYQLY	18	981965	982475
ZZUEU95	1	26494	26988
1VD9F	21	195067	195573
S2A00L	12	689882	690385
HD5C98	12	572664	573153
VONSMA	16	200091	200595
FR9R	2	352825	353326
G2NZ	14	338420	338909
7L4J	6	748680	749188
QLVFVC8G	15	31328	31836
GRNY	2	821144	821636
SXTW	19	833600	834105
YK6MLZE	21	671655	672171
T599M	8	935769	936282
8EZM7CCW	6	443052	443564
7LTHXBYT	19	820124	820634
98L2VHN	15	758960	759461
2WM4L	7	540519	541017
MMRB	21	864521	865028
OMVSY4N	2	67637	68136
1HWWFHDK	22	558687	559193
6UWPX3U	4	848556	849057
KO5TN	4	469231	469726
S0RE05	4	240255	240746
9I5G9J	15	547375	547875
H8N89AF	13	599108	599603
MLSKFC	15	136517	137034
DMY52J2	9	797827	798327
FOD91Q	1	838333	838844
1ZV9FBQH	22	765834	766333
CNVH6	3	235158	235663
MJCT6	2	900363	900861
3S4M9G9	23	116314	116802
162RLIQ	1	174540	175036
ZV53QK	12	3910	4410
0TNIH2EL	8	299379	299873
VKKHTO1O	15	799428	799928
8ULBW6TY	9	148745	149236
PY9UE3	7	666227	666724
XRME	15	998135	998621
5NII1O1F	22	169512	170008
AJOYF0N1	10	519580	520074
RPR85	23	866685	867186
L4G5P	1	106181	106669
6IKDL	13	139821	140332
SY2CJ	9	164155	164665
PGZ7SFI	21	733051	733550
UFNCU7	6	234327	234807
51STQMG4	5	216169	216661
4RFL	13	280984	281488
3BUU	11	412944	413433
DWB1	4	545587	546098
26HZ3ILV	2	675928	676432
RGH7JPC	18	430567	431055
UI3Z	23	897674	898165
WHFKHZ	14	127255	127749
ZRY2	2	32619	33122
3ZW0Q7	7	588103	588586
N8QJO5WO	10	3607	4119
3BJN	13	855823	856305
U7WME	21	898396	898899
XBIY	18	622198	622711
VMWDJAIA	15	858975	859458
PUZ6D	18	807031	807527
6OTG	6	885099	885611
QOX7DHA4	22	688051	688558
4VS8	18	834421	834913
ZGM9UZK	15	833168	833673
MMARCZPN	11	385147	385647
0QCMPI4N	13	778487	778989
0OQ4	10	256182	256691
KBMIO	14	244772	245291
2A4KH	10	866971	867449
C19F	3	290849	291340
IVS87P	17	185341	185831
Y9XTZ10	12	767592	768098
2OZL5EH	10	152211	152694
5SUSOT	3	731518	732013
M6JY	14	138243	138741
G3MD4UDB	11	127989	128493
8U8S	2	80205	80724
TXHQ9TVC	21	835442	835932
E4ND2	17	611065	611534
X9WMJKB0	17	874868	875361
CM81	6	906575	907079
GBZPQ	15	965308	965813
8A5UG	9	41474	41984
UUP4	20	806351	806847
6PBIMK	22	218806	219306
NZ0RTZ7	7	22623	23141
4B8SDS	13	967164	967664
VCRCVMUA	16	529552	530068
RDC4DW	16	587958	588457
7UI4JAJ	15	252471	252992
814NX2	20	922562	923075
TR7WH	13	774483	774963
PFSJF3	11	75457	75949
MBRDUSV	23	445000	445517
EVGLUW	9	91395	91882
5W3EY96	16	137128	137613
WTAZOMJT	21	116626	117111
5YEN2J3	3	497169	497668
HLCI	19	941097	941597
DVTUDKE	1	924015	924519
6V637T5E	21	601956	602471
X1UOJH4O	3	952049	952551
XY1MPQ2M	4	745530	746024
ZELYFUVM	10	508415	508922
LE3HU	10	75328	75827
QJQN	9	566356	566850
Q738UG	4	434867	435372
NFAZ2MXW	9	627376	627871
NR51U89X	21	219719	220231
9W3BMTPK	14	313556	314047
SQUU	12	313263	313769
GKPN8	21	643203	643706
K3LQ0Q	8	73908	74411
VBZMC	19	472940	473446
DFRO1CN	14	519524	520015
KZ6L	13	2491	2990
KPS7994	16	33914	34406
NI5H5	20	297176	297666
5XV7D5WU	18	647324	647829
OW38ZH	22	980970	981472
DOZH6O	11	450512	451000
K89N	19	789029	789523
C3QRT2	12	578150	578649
HBYGD2X	1	706714	707208
V70LP4	9	447000	447512
SNAKW	1	154071	154571
3AF4O	7	728490	729005
N6J43NAW	20	871823	872332
CRMJPM	1	531111	531619
FMF1	16	255464	255952
7T5FS2I	1	954117	954634
AG5N87NX	9	509966	510470
UUPPO	20	103246	103742
N5K5IVX	14	832638	833123
Q395	1	896051	896545
XKKTX	8	696145	696649
E0Q3H1GF	18	174216	174726
1KD5	17	732254	732755
10QTZ	21	468046	468529
J45BJX	23	132699	133205
ERZ72T0	3	282142	282640
PGAJL1	3	629878	630379
LVX3O	23	298343	298843
CEQR4	23	302147	302649
KC97I	5	658752	659252
MXTFLZB4	3	454406	454902
2TY29LJF	1	538554	539049
Q20HK	5	732198	732709
S3TIN	5	482311	482819
73SK7EJ	18	43420	43914
QJT1478B	14	742775	743272
U71ZM6IR	5	382159	382665
R85P4R	12	952098	952609
HMM88X3	10	952766	953270
J0PB	19	214975	215464
45Q9R	8	873912	874422
GKY7	18	379829	380320
B2X1BOY7	16	323717	324216
KKXAYF	17	350111	350611
BPJCE	4	303119	303622
PHB6FU	3	308577	309079
1TT02	8	10721	11218
4DOS	15	591197	591690
2K61W6QQ	18	12242	12740
HOD09	4	242166	242648
N76N23W	6	647655	648164
7IMNKB	15	887715	888219
AQJBB8	22	435579	436071
Y87A04	8	316214	316710
VCCWA	13	147488	148001
OQVVE	22	900640	901141
ZX8N	12	635405	635917
MPBKSWF	5	110825	111327
X5TZYC	13	525943	526446
SL2W	15	375971	376476
49KII	23	834239	834721
TR19	1	174705	175200
PJGCZ8HH	9	28632	29126
DIGI	22	643651	644148
0HEIEEUJ	6	856497	857006
BXRHJ	21	531202	531688
J1DS	21	703697	704208
NMXS1GGH	1	681807	682310
KTG858SP	21	598622	599122
I8D8Q8	8	355194	355684
Z5J3Y99	19	167874	168375
LGSW	12	746427	746931
PX8LH	23	594040	594538
HN6EVXRJ	3	726806	727313
NX2PZ6P	18	346625	347109
VVVKLCTE	1	831394	831893
SYUHDHA	3	917691	918188
V91BDZEJ	12	556491	556990
SHD7S	1	713862	714381
2VUV7HFJ	22	744694	745185
G2O3N	15	285859	286346
1FMRK	17	613669	614183
YFGIBQY	21	492974	493468
SS7C0G8	5	737005	737514
JUK70R0	6	129305	129808
MPMDXEY4	11	854706	855206
PAXG	5	373793	374297
FAVT2HK1	1	323823	324340
QJWNX84	1	307412	307900
33TRZ19J	20	601669	602167
L2NYMW4	7	624836	625331
G8HR3	1	900862	901364
H2G53	14	33647	34139
4L3Q2KC	17	867139	867648
3IS5EZ	1	962185	962682
7UCF	21	881246	881761
6ZWFNGM	5	725195	725697
7HN1LNS	23	644404	644888
SOBD89	1	135683	136175
ESXX	7	922821	923357
0EIMX789	16	216946	217431
6BSX	3	337222	337723
34XE94BL	18	439061	439548
HTA16CQ	21	367055	367541
1B22	6	869900	870417
1T0HCN95	22	844477	844957
XSUP702	13	170687	171185
DV9XVE	18	748606	749101
6F5GE	7	841819	842340
IBJYAY	6	651254	651757
UOGG3XH7	21	103031	103532
V9C59	17	547005	547511
YCHS1R	2	446288	446771
14NDPZ	14	808178	808697
4LYG02CM	11	451018	451504
J1WU	21	231477	231988
K13L	3	574490	574996
QQZFVF86	1	764308	764795
QPC68RC	9	1901	2403
MVCKFRSY	22	919600	920089
0TC6XAQ	4	582013	582507
JAYM	15	321854	322366
6K89FZC	22	300944	301434
62VN7K	19	764391	764884
S03O0CX	22	758909	759415
1YX1P	17	495091	495592
44JV	17	98695	99180
5ES6Y6O	20	66024	66510
03IXZ8CT	8	499977	500485
K3PKF	2	43688	44197
DM12SY	6	354776	355287
YO7H5	9	683917	684401
ZMYXI	17	736759	737250
3AV0LMWE	18	5443	5935
2JLS	4	974499	974991
C2G6	18	913179	913679
FD12	21	802791	803278
YE46G5CU	10	571345	571847
BDCKU	1	667865	668365
87W9ORD	17	699679	700189
4M3JOKS	21	834274	834779
P5AY	6	499086	499582
MW10	14	332680	333192
HKO8W1B	20	902297	902803
TPD5	17	301794	302283
R26QWGU	1	923020	923534
X1A2AD	19	458004	458527
98TWK	5	33695	34202
HKVR4NK	14	413340	413850
C0CDB	12	429308	429819
I7IMDH	17	794925	795427
85UHU1N	8	800422	800926
WR5IO45E	4	425623	426124
DXYX4CQ	15	722731	723229
G9RAT	11	222654	223147
YDFK7GQK	8	921990	922491
WPBN	16	954639	955147
ABBO	3	372780	373286
30VO2	19	680513	681014
7AFS	9	520260	520754
VDKN67	17	247560	248055
21KI	12	748187	748687
BTTH44	2	935272	935784
T1W4NA	12	924849	925334
FPHPPHW2	17	840798	841305
G8WYJ1J	7	218264	218771
EMABTWX	18	338735	339228
FRO3YWCI	4	983909	984384
LHQC7IT	8	589669	590160
9A0Q	4	588845	589346
T5V9	4	22926	23426
NRUHN	15	815918	816399
H1Z2	20	731856	732361
QKIKZJ	6	530843	531332
S74U	22	131461	131970
F36X82HM	20	124589	125101
58TV	23	975820	976318
NY7OXY	12	213202	213709
8R72K	19	264231	264715
DWN0G3	19	263118	263620
II9S	2	797737	798230
MKP1STYV	18	77538	78039
LLGDREZ	1	422246	422755
72QV	14	917458	917950
LOXT7HN	19	119378	119885
AIXW	6	432037	432546
J2PEB3TQ	7	398264	398764
M3XHOR	14	957210	957704
5FA5	21	244667	245169
9DP12	17	521523	522038
2CV1BE	21	790304	790802
CHO3W40	6	614948	615442
M3C1IM6	22	648616	649133
J49WKK7X	1	707664	708172
U3EH7	4	221107	221608
JO94SN6L	13	314199	314708
HUY6E1	13	611941	612425
ZMEBIQYX	10	697257	697777
TXKN	2	289499	289998
